time,open,high,low,close,volume
1759129200,2,2,2,2,0
1759134600,1,1,1,1,0
1759134600,1,1,1,1,0
1759134600,1,1,1,1,0
1759136400,1,1,1,1,0
1759145400,1,1,1,1,0
1759147200,1,1,1,1,0
1759147200,1,1,1,1,0
1759154400,2,2,2,2,0
1759166100,2,2,2,2,0
1759167000,1,1,1,1,0
1759167000,1,1,1,1,0
1759183200,1,1,1,1,0
1759186860,1,1,1,1,0
1759189800,1,1,1,1,0
1759189800,1,1,1,1,0
1759189800,1,1,1,1,0
1759190400,1,1,1,1,0
1759195800,1,1,1,1,0
1759195800,1,1,1,1,0
1759195800,3,3,3,3,0
1759195800,2,2,2,2,0
1759196700,1,1,1,1,0
1759196700,1,1,1,1,0
1759206600,3,3,3,3,0
1759206600,3,3,3,3,0
1759208400,1,1,1,1,0
1759210200,3,3,3,3,0
1759212000,1,1,1,1,0
1759212000,1,1,1,1,0
1759212000,1,1,1,1,0
1759212000,1,1,1,1,0
1759212000,1,1,1,1,0
1759213740,2,2,2,2,0
1759214700,1,1,1,1,0
1759214700,1,1,1,1,0
1759215600,1,1,1,1,0
1759218900,1,1,1,1,0
1759222800,1,1,1,1,0
1759226400,1,1,1,1,0
1759233000,1,1,1,1,0
1759233600,0,0,0,0,0
1759236600,2,2,2,2,0
1759237200,1,1,1,1,0
1759237200,1,1,1,1,0
1759237200,1,1,1,1,0
1759238700,1,1,1,1,0
1759239900,1,1,1,1,0
1759240800,3,3,3,3,0
1759240800,2,2,2,2,0
1759244400,2,2,2,2,0
1759246200,1,1,1,1,0
1759251600,1,1,1,1,0
1759253400,1,1,1,1,0
1759260600,1,1,1,1,0
1759264200,1,1,1,1,0
1759268700,1,1,1,1,0
1759273800,1,1,1,1,0
1759276200,1,1,1,1,0
1759276200,1,1,1,1,0
1759276860,0,0,0,0,0
1759278600,1,1,1,1,0
1759298400,1,1,1,1,0
1759300200,1,1,1,1,0
1759300200,1,1,1,1,0
1759302900,1,1,1,1,0
1759303800,1,1,1,1,0
1759304700,1,1,1,1,0
1759305000,1,1,1,1,0
1759305300,1,1,1,1,0
1759305600,1,1,1,1,0
1759307400,1,1,1,1,0
1759309200,2,2,2,2,0
1759309200,2,2,2,2,0
1759310100,2,2,2,2,0
1759311120,1,1,1,1,0
1759312500,1,1,1,1,0
1759316400,1,1,1,1,0
1759320900,3,3,3,3,0
1759323600,1,1,1,1,0
1759325400,1,1,1,1,0
1759326300,1,1,1,1,0
1759327200,3,3,3,3,0
1759327200,2,2,2,2,0
1759328100,1,1,1,1,0
1759329000,1,1,1,1,0
1759335300,1,1,1,1,0
1759339800,1,1,1,1,0
1759341900,1,1,1,1,0
1759352400,1,1,1,1,0
1759362600,1,1,1,1,0
1759363260,0,0,0,0,0
1759368600,1,1,1,1,0
1759368600,1,1,1,1,0
1759368600,1,1,1,1,0
1759376100,1,1,1,1,0
1759381200,1,1,1,1,0
1759386600,3,3,3,3,0
1759387500,1,1,1,1,0
1759388400,1,1,1,1,0
1759392000,1,1,1,1,0
1759395600,1,1,1,1,0
1759396680,1,1,1,1,0
1759404600,1,1,1,1,0
1759408200,3,3,3,3,0
1759413600,1,1,1,1,0
1759415400,1,1,1,1,0
1759415400,1,1,1,1,0
1759425900,1,1,1,1,0
1759447800,1,1,1,1,0
1759449660,0,0,0,0,0
1759453500,3,3,3,3,0
1759467600,0,0,0,0,0
1759473900,1,1,1,1,0
1759475700,1,1,1,1,0
1759477500,1,1,1,1,0
1759477800,1,1,1,1,0
1759478100,1,1,1,1,0
1759478400,1,1,1,1,0
1759478400,1,1,1,1,0
1759480200,1,1,1,1,0
1759482000,1,1,1,1,0
1759484400,2,2,2,2,0
1759485900,1,1,1,1,0
1759494600,3,3,3,3,0
1759494600,3,3,3,3,0
1759494600,3,3,3,3,0
1759497600,3,3,3,3,0
1759499100,1,1,1,1,0
1759500000,3,3,3,3,0
1759512600,1,1,1,1,0
1759513200,1,1,1,1,0
1759593600,0,0,0,0,0
